id,displayName,primaryImage,heightCm,birthDate,deathDate,meterRanking,page,currentRank,currentRank_Tier
nm0000138,Leonardo DiCaprio,"{'url': 'https://m.media-amazon.com/images/M/MV5BMjI0MTg3MzI0M15BMl5BanBnXkFtZTcwMzQyODU2Mw@@._V1_.jpg', 'width': 297, 'height': 400}",183.0,"{'year': 1974, 'month': 11, 'day': 11}",,"{'currentRank': 21, 'changeDirection': 'DOWN', 'difference': 14}",0,21.0,9.0
nm1046097,Rachel McAdams,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTY5ODcxMDU4NV5BMl5BanBnXkFtZTcwMjAzNjQyNQ@@._V1_.jpg', 'width': 1413, 'height': 2048}",163.0,"{'year': 1978, 'month': 11, 'day': 17}",,"{'currentRank': 22, 'changeDirection': 'UP', 'difference': 193}",0,22.0,9.0
nm2842005,Hero Fiennes Tiffin,"{'url': 'https://m.media-amazon.com/images/M/MV5BNDE3ODZmYjItNzZjMy00NmMzLThhYTItYTY4NTgzODAzYTlkXkEyXkFqcGc@._V1_.jpg', 'width': 1125, 'height': 2436}",188.0,"{'year': 1997, 'month': 11, 'day': 6}",,"{'currentRank': 23, 'changeDirection': 'DOWN', 'difference': 5}",0,23.0,9.0
nm2555462,Eiza González,"{'url': 'https://m.media-amazon.com/images/M/MV5BZTNiNDUxNTYtZWE5Zi00NTA5LWIwMTgtOTViYzI5ZDQ5Mjc4XkEyXkFqcGc@._V1_.jpg', 'width': 1440, 'height': 1800}",173.0,,,"{'currentRank': 24, 'changeDirection': 'UP', 'difference': 310}",0,24.0,9.0
nm2168927,Milana Vayntrub,"{'url': 'https://m.media-amazon.com/images/M/MV5BZDQ1NGRmNmQtYzU3Mi00YjM0LWE2OGYtY2UzMmEyMjY5YmUyXkEyXkFqcGc@._V1_.jpg', 'width': 1280, 'height': 1587}",160.0,,,"{'currentRank': 25, 'changeDirection': 'UP', 'difference': 36}",0,25.0,9.0
nm0000621,Kurt Russell,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTk3MjkxNzQwMV5BMl5BanBnXkFtZTYwNDk4ODM1._V1_.jpg', 'width': 268, 'height': 400}",176.0,"{'year': 1951, 'month': 3, 'day': 17}",,"{'currentRank': 26, 'changeDirection': 'DOWN', 'difference': 3}",0,26.0,9.0
nm3115493,Ben Schnetzer,"{'url': 'https://m.media-amazon.com/images/M/MV5BYzE2NzgyNGEtYjhlMy00M2JlLWI0NDgtZWMzODE1YzExZWI3XkEyXkFqcGc@._V1_CR401,766,3333,5000_.jpg', 'width': 3333, 'height': 5000}",180.0,"{'year': 1990, 'month': 2, 'day': 8}",,"{'currentRank': 27, 'changeDirection': 'UP', 'difference': 78}",0,27.0,9.0
nm0792263,Taylor Sheridan,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTU3NDUyMzE2OF5BMl5BanBnXkFtZTcwMTc0MDQ3MQ@@._V1_.jpg', 'width': 500, 'height': 700}",179.0,"{'year': 1969, 'month': 7, 'day': 17}",,"{'currentRank': 28, 'changeDirection': 'UP', 'difference': 25}",0,28.0,9.0
nm2858875,Sydney Sweeney,"{'url': 'https://m.media-amazon.com/images/M/MV5BZTIwYmNjMjctYTAyZi00Njg0LWJmZWQtZTc1MmZjZjBiMmQ4XkEyXkFqcGc@._V1_.jpg', 'width': 2000, 'height': 2667}",161.0,"{'year': 1997, 'month': 9, 'day': 12}",,"{'currentRank': 29, 'changeDirection': 'UP', 'difference': 30}",0,29.0,9.0
nm3846175,Taylor Dearden,"{'url': 'https://m.media-amazon.com/images/M/MV5BMGI0N2UwMTYtMTgzNy00NDg4LThlMWUtNTMxNDZlNmVjNDk1XkEyXkFqcGc@._V1_.jpg', 'width': 684, 'height': 920}",165.0,"{'year': 1993, 'month': 2, 'day': 12}",,"{'currentRank': 30, 'changeDirection': 'UP', 'difference': 39}",0,30.0,9.0
nm0005188,James Marsden,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTQyOTUzNjc0MF5BMl5BanBnXkFtZTcwNTYyMDYzMw@@._V1_.jpg', 'width': 267, 'height': 400}",178.0,"{'year': 1973, 'month': 9, 'day': 18}",,"{'currentRank': 31, 'changeDirection': 'UP', 'difference': 149}",0,31.0,9.0
nm0000681,Vince Vaughn,"{'url': 'https://m.media-amazon.com/images/M/MV5BYWQxNTI2ODUtYjFlMS00YTdhLWJlZTYtZmVhZTM4ZDVhYmNiXkEyXkFqcGc@._V1_.jpg', 'width': 3840, 'height': 5760}",196.0,"{'year': 1970, 'month': 3, 'day': 28}",,"{'currentRank': 32, 'changeDirection': 'UP', 'difference': 567}",0,32.0,9.0
nm2976580,Jessie Buckley,"{'url': 'https://m.media-amazon.com/images/M/MV5BNTFlZWIwMjQtNmNiOS00ZDc3LTkxZDgtYTE0YjQ3ODU5ZGIyXkEyXkFqcGc@._V1_.jpg', 'width': 3600, 'height': 5400}",170.0,"{'year': 1989, 'month': 12, 'day': 28}",,"{'currentRank': 33, 'changeDirection': 'DOWN', 'difference': 31}",0,33.0,9.0
nm17347086,Arabella Stanton,"{'url': 'https://m.media-amazon.com/images/M/MV5BODg4MGVkZWYtZDY2YS00OTk1LWIwZGItMGUzYTlmMDFlNGM0XkEyXkFqcGc@._V1_.jpg', 'width': 444, 'height': 580}",,"{'year': 2014, 'month': 4, 'day': 11}",,"{'currentRank': 34, 'changeDirection': 'UP', 'difference': 8156}",0,34.0,9.0
nm0004715,Will Arnett,"{'url': 'https://m.media-amazon.com/images/M/MV5BM2ZmZjk5ZTItZGI0MS00MmU2LTgyMzQtODIwZGU2YzBjOTNhXkEyXkFqcGc@._V1_.jpg', 'width': 612, 'height': 792}",189.0,"{'year': 1970, 'month': 5, 'day': 4}",,"{'currentRank': 35, 'changeDirection': 'UP', 'difference': 167}",0,35.0,9.0
nm0001864,Noah Wyle,"{'url': 'https://m.media-amazon.com/images/M/MV5BYzQ3N2EwODItNzNkNS00NTExLTgxMjgtOGJlMmNhZjRmZDNlXkEyXkFqcGc@._V1_.jpg', 'width': 2400, 'height': 3600}",185.0,"{'year': 1971, 'month': 6, 'day': 4}",,"{'currentRank': 36, 'changeDirection': 'UP', 'difference': 54}",0,36.0,9.0
nm0674781,Valerie Perrine,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTkwNzgyMDEwMl5BMl5BanBnXkFtZTYwMjI2ODgz._V1_.jpg', 'width': 280, 'height': 400}",171.0,"{'year': 1943, 'month': 9, 'day': 3}","{'year': 2026, 'month': 3, 'day': 23}","{'currentRank': 37, 'changeDirection': 'UP', 'difference': 10025}",0,37.0,9.0
nm0001496,Amy Madigan,"{'url': 'https://m.media-amazon.com/images/M/MV5BYTU4Y2IwYzUtMDBmMC00YjQ0LTljNmMtYTAzZTdhMzgzODFiXkEyXkFqcGc@._V1_.jpg', 'width': 2000, 'height': 2999}",166.0,"{'year': 1950, 'month': 9, 'day': 11}",,"{'currentRank': 38, 'changeDirection': 'DOWN', 'difference': 37}",0,38.0,9.0
nm1412974,Glen Powell,"{'url': 'https://m.media-amazon.com/images/M/MV5BZjVmMGRiNmUtODVlNC00ODU4LWJlMGQtNzBkZDg4MDM4NGI2XkEyXkFqcGc@._V1_.jpg', 'width': 1280, 'height': 1920}",183.0,"{'year': 1988, 'month': 10, 'day': 21}",,"{'currentRank': 39, 'changeDirection': 'UP', 'difference': 145}",0,39.0,9.0
nm0478762,Katherine LaNasa,"{'url': 'https://m.media-amazon.com/images/M/MV5BNDAyNjhlM2EtMDU2MC00OTA3LWE2NzItYTQwMGE4NDhhODgwXkEyXkFqcGc@._V1_.jpg', 'width': 2447, 'height': 1710}",164.0,"{'year': 1966, 'month': 12, 'day': 1}",,"{'currentRank': 40, 'changeDirection': 'UP', 'difference': 53}",0,40.0,9.0
nm0004999,Shawn Hatosy,"{'url': 'https://m.media-amazon.com/images/M/MV5BOGYxNzMzNmEtZTQ5YS00NWE4LWE0MWQtMzMxY2EwNzQ1YzI1XkEyXkFqcGc@._V1_.jpg', 'width': 1350, 'height': 2000}",175.0,"{'year': 1975, 'month': 12, 'day': 29}",,"{'currentRank': 41, 'changeDirection': 'UP', 'difference': 10}",0,41.0,9.0
nm0004802,Linda Cardellini,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTQ2MDM4MTM2NF5BMl5BanBnXkFtZTgwMTM4MjYyMDE@._V1_.jpg', 'width': 1482, 'height': 2048}",160.0,"{'year': 1975, 'month': 6, 'day': 25}",,"{'currentRank': 42, 'changeDirection': 'DOWN', 'difference': 8}",0,42.0,9.0
nm0282648,Dann Florek,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTk1NDY3NDkzNV5BMl5BanBnXkFtZTYwMTg0Nzc4._V1_.jpg', 'width': 360, 'height': 540}",183.0,"{'year': 1950, 'month': 5, 'day': 1}",,"{'currentRank': 43, 'changeDirection': 'UP', 'difference': 7835}",0,43.0,9.0
nm0444223,Arielle Kebbel,"{'url': 'https://m.media-amazon.com/images/M/MV5BZmE2N2RlOTktYzVhMi00NjkxLWI5YzUtZjcxNWNlMWY3MGYxXkEyXkFqcGc@._V1_.jpg', 'width': 1013, 'height': 1543}",173.0,,,"{'currentRank': 44, 'changeDirection': 'DOWN', 'difference': 7}",0,44.0,9.0
nm5469396,Paapa Essiedu,"{'url': 'https://m.media-amazon.com/images/M/MV5BMGZkYTgxZGEtMTYwZi00NGYyLTljOGQtZDJlMjczNWE4NjgzXkEyXkFqcGc@._V1_.jpg', 'width': 1079, 'height': 1217}",176.0,"{'year': 1990, 'month': 6, 'day': 11}",,"{'currentRank': 45, 'changeDirection': 'UP', 'difference': 2530}",0,45.0,9.0
nm1875040,Fiona Dourif,"{'url': 'https://m.media-amazon.com/images/M/MV5BYzNlMjgyOTItMTRkNC00NWQ3LWI4MTMtYWU0MDMwZGJhMTM0XkEyXkFqcGc@._V1_.jpg', 'width': 1365, 'height': 2048}",166.0,"{'year': 1981, 'month': 10, 'day': 30}",,"{'currentRank': 46, 'changeDirection': 'UP', 'difference': 71}",0,46.0,9.0
nm7060757,Lisa Gilroy,"{'url': 'https://m.media-amazon.com/images/M/MV5BZWViODEzZTQtNjcxMy00YzNiLTkyZGEtMmY5NmJiNGMzNWFhXkEyXkFqcGc@._V1_CR0,1,1799,2698_.jpg', 'width': 1799, 'height': 2698}",,"{'year': 1989, 'month': 10, 'day': 22}",,"{'currentRank': 47, 'changeDirection': 'UP', 'difference': 33}",0,47.0,9.0
nm3729721,Dylan O'Brien,"{'url': 'https://m.media-amazon.com/images/M/MV5BYTFiNDQ1YWMtYjE4Ny00YzViLWJhMzgtNTA1ODdhYmMyMDcyXkEyXkFqcGc@._V1_.jpg', 'width': 863, 'height': 1230}",178.0,"{'year': 1991, 'month': 8, 'day': 26}",,"{'currentRank': 48, 'changeDirection': 'UP', 'difference': 452}",0,48.0,9.0
nm2570706,Sophie Rundle,"{'url': 'https://m.media-amazon.com/images/M/MV5BMzIwODI2NzY2OV5BMl5BanBnXkFtZTgwNDk5Mjc0ODE@._V1_.jpg', 'width': 2000, 'height': 3000}",165.0,"{'year': 1988, 'month': 4, 'day': 21}",,"{'currentRank': 49, 'changeDirection': 'UP', 'difference': 90}",0,49.0,9.0
nm4960279,Margaret Qualley,"{'url': 'https://m.media-amazon.com/images/M/MV5BM2E2ZThiYzYtYjc4MS00YTY0LTg0ODctNWNlYzZkOWE2MWYwXkEyXkFqcGc@._V1_.jpg', 'width': 1145, 'height': 1443}",173.0,"{'year': 1994, 'month': 10, 'day': 23}",,"{'currentRank': 50, 'changeDirection': 'UP', 'difference': 78}",0,50.0,9.0
nm0048932,Simon Baker,"{'url': 'https://m.media-amazon.com/images/M/MV5BM2UyZDVmNWEtYTQ2NS00NDliLTljOWQtMjc0NzJiMjhmNTFkXkEyXkFqcGc@._V1_.jpg', 'width': 1280, 'height': 720}",180.0,"{'year': 1969, 'month': 7, 'day': 30}",,"{'currentRank': 51, 'changeDirection': 'DOWN', 'difference': 12}",0,51.0,9.0
nm0289142,Matthew Fox,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTk1NTk5MDI2Ml5BMl5BanBnXkFtZTcwMDkzODk2Mw@@._V1_.jpg', 'width': 266, 'height': 400}",188.0,"{'year': 1966, 'month': 7, 'day': 14}",,"{'currentRank': 52, 'changeDirection': 'UP', 'difference': 18}",0,52.0,9.0
nm0005370,Kathleen Robertson,"{'url': 'https://m.media-amazon.com/images/M/MV5BZTRiM2FiMjgtZDAxOC00YzE5LThhNjktZTI0Yjg4YzY2YTU2XkEyXkFqcGc@._V1_.jpg', 'width': 930, 'height': 1000}",163.0,,,"{'currentRank': 53, 'changeDirection': 'UP', 'difference': 125}",0,53.0,9.0
nm3918035,Zendaya,"{'url': 'https://m.media-amazon.com/images/M/MV5BZjM5N2U3MzQtZWU5My00YzE0LThmZTgtYjE1NDJjNmIzZmIxXkEyXkFqcGc@._V1_.jpg', 'width': 780, 'height': 1040}",178.0,"{'year': 1996, 'month': 9, 'day': 1}",,"{'currentRank': 54, 'changeDirection': 'DOWN', 'difference': 19}",0,54.0,9.0
nm0000173,Nicole Kidman,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTk1MjM5NDg4MF5BMl5BanBnXkFtZTcwNDg1OTQ4Nw@@._V1_.jpg', 'width': 1404, 'height': 1902}",180.0,"{'year': 1967, 'month': 6, 'day': 20}",,"{'currentRank': 55, 'changeDirection': 'DOWN', 'difference': 23}",0,55.0,9.0
nm0588087,Christopher Miller,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTAzNDAzODgzOTheQTJeQWpwZ15BbWU3MDc5MDg4MTg@._V1_.jpg', 'width': 1370, 'height': 2048}",180.0,"{'year': 1975, 'month': 9, 'day': 23}",,"{'currentRank': 56, 'changeDirection': 'UP', 'difference': 96}",0,56.0,9.0
nm0000759,Paul Thomas Anderson,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTQwNjc5NjY2NV5BMl5BanBnXkFtZTcwNDIxMzg1MQ@@._V1_.jpg', 'width': 262, 'height': 400}",179.0,"{'year': 1970, 'month': 6, 'day': 26}",,"{'currentRank': 57, 'changeDirection': 'DOWN', 'difference': 53}",0,57.0,9.0
nm0000233,Quentin Tarantino,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTgyMjI3ODA3Nl5BMl5BanBnXkFtZTcwNzY2MDYxOQ@@._V1_.jpg', 'width': 1335, 'height': 2048}",185.0,"{'year': 1963, 'month': 3, 'day': 27}",,"{'currentRank': 58, 'changeDirection': 'UP', 'difference': 90}",0,58.0,9.0
nm0000093,Brad Pitt,"{'url': 'https://m.media-amazon.com/images/M/MV5BMjA1MjE2MTQ2MV5BMl5BanBnXkFtZTcwMjE5MDY0Nw@@._V1_.jpg', 'width': 1363, 'height': 2048}",180.0,"{'year': 1963, 'month': 12, 'day': 18}",,"{'currentRank': 59, 'changeDirection': 'UP', 'difference': 5}",0,59.0,9.0
nm1834115,Annabelle Wallis,"{'url': 'https://m.media-amazon.com/images/M/MV5BMjA2MjU2NjE1OV5BMl5BanBnXkFtZTgwNTMyMTAzMjI@._V1_.jpg', 'width': 2048, 'height': 1316}",170.0,"{'year': 1984, 'month': 9, 'day': 5}",,"{'currentRank': 60, 'changeDirection': 'UP', 'difference': 153}",0,60.0,9.0
nm4348240,Adam DiMarco,"{'url': 'https://m.media-amazon.com/images/M/MV5BY2ViNzU2OWQtODI4MC00OGE0LTk3M2YtNGQyODEzMDI3ZjJlXkEyXkFqcGc@._V1_.jpg', 'width': 1410, 'height': 1710}",183.0,,,"{'currentRank': 61, 'changeDirection': 'UP', 'difference': 860}",0,61.0,9.0
nm5085683,Mckenna Grace,"{'url': 'https://m.media-amazon.com/images/M/MV5BOTI4YzM4ZmQtM2Q3OS00NWM1LTk0ZjYtZmMyMmI1M2ZiNjU2XkEyXkFqcGc@._V1_CR2,1,1666,2499_.jpg', 'width': 1666, 'height': 2499}",154.0,"{'year': 2006, 'month': 6, 'day': 25}",,"{'currentRank': 62, 'changeDirection': 'DOWN', 'difference': 33}",0,62.0,9.0
nm1083404,Sarah Shahi,"{'url': 'https://m.media-amazon.com/images/M/MV5BNDA1MDFiMTctNjM2Ni00MDc1LWJjZmUtMTY3NDRjNWM5MjU2XkEyXkFqcGc@._V1_.jpg', 'width': 8736, 'height': 11648}",160.0,"{'year': 1980, 'month': 1, 'day': 10}",,"{'currentRank': 63, 'changeDirection': 'UP', 'difference': 37}",0,63.0,9.0
nm0713389,Tania Raymonde,"{'url': 'https://m.media-amazon.com/images/M/MV5BN2VjZTcyMmMtNzg0OC00YWQ4LThlNzgtZjMxZjBlODBlODdmXkEyXkFqcGc@._V1_.jpg', 'width': 1080, 'height': 1440}",166.0,"{'year': 1988, 'month': 3, 'day': 22}",,"{'currentRank': 64, 'changeDirection': 'UP', 'difference': 317}",0,64.0,9.0
nm3154303,Timothée Chalamet,"{'url': 'https://m.media-amazon.com/images/M/MV5BZTIyZWY4ZjktOGJiZi00NGFkLTllMjctZjJjMmNiMjIxOTY2XkEyXkFqcGc@._V1_.jpg', 'width': 3000, 'height': 2265}",178.0,"{'year': 1995, 'month': 12, 'day': 27}",,"{'currentRank': 65, 'changeDirection': 'DOWN', 'difference': 55}",0,65.0,9.0
nm16282533,Dominic McLaughlin,"{'url': 'https://m.media-amazon.com/images/M/MV5BNmUxM2VlZjYtZTRiMC00MzA0LWJhNjktOTg0NDhiN2ViYTFiXkEyXkFqcGc@._V1_.jpg', 'width': 424, 'height': 581}",,,,"{'currentRank': 66, 'changeDirection': 'UP', 'difference': 9410}",0,66.0,9.0
nm1157358,Michelle Monaghan,"{'url': 'https://m.media-amazon.com/images/M/MV5BMzUzMTNkY2QtOTBkZi00YjFlLThmMTgtM2NjNTQ1NzZiNTQ5XkEyXkFqcGc@._V1_.jpg', 'width': 3998, 'height': 6000}",170.0,"{'year': 1976, 'month': 3, 'day': 23}",,"{'currentRank': 67, 'changeDirection': 'UP', 'difference': 468}",0,67.0,9.0
nm0001523,Natascha McElhone,"{'url': 'https://m.media-amazon.com/images/M/MV5BNzg4NjA5ZTEtMWYzZi00NjkxLThmYzMtYWRmN2E2MTdiOTVjXkEyXkFqcGc@._V1_.jpg', 'width': 2401, 'height': 3602}",176.0,"{'year': 1969, 'month': 12, 'day': 14}",,"{'currentRank': 68, 'changeDirection': 'DOWN', 'difference': 22}",0,68.0,9.0
nm0462116,Jeff Kober,"{'url': 'https://m.media-amazon.com/images/M/MV5BNmNmMTQ1NDItMGVmYS00MGZmLTk4OTItOGMzOTM3Zjk2MDYyXkEyXkFqcGc@._V1_CR85,1,501,751_.jpg', 'width': 501, 'height': 751}",181.0,"{'year': 1953, 'month': 12, 'day': 18}",,"{'currentRank': 69, 'changeDirection': 'DOWN', 'difference': 14}",0,69.0,9.0
nm6051296,Nicole Brydon Bloom,"{'url': 'https://m.media-amazon.com/images/M/MV5BMjc2NDE3MjktMDc1MS00NTY0LTgwZDQtNDkyY2RlMGMwN2ExXkEyXkFqcGc@._V1_.jpg', 'width': 2694, 'height': 1794}",166.0,"{'year': 1994, 'month': 3, 'day': 23}",,"{'currentRank': 70, 'changeDirection': 'UP', 'difference': 59}",0,70.0,9.0
nm10183690,Dónal Finn,"{'url': 'https://m.media-amazon.com/images/M/MV5BYTYxNjUwNmYtNmNmOS00OWZiLThjOTAtZGIxZjRmNmE3ZGMwXkEyXkFqcGc@._V1_CR57,1,1067,1601_.jpg', 'width': 1067, 'height': 1601}",,"{'year': 1995, 'month': 8, 'day': 31}",,"{'currentRank': 71, 'changeDirection': 'DOWN', 'difference': 15}",0,71.0,9.0
