id,type,primaryTitle,originalTitle,primaryImage,startYear,runtimeSeconds,genres,rating,plot,worldwideGross,productionBudget,totalStarMeter,gross_to_budget_ratio
tt26443616,movie,Hoppers,Hoppers,"{'url': 'https://m.media-amazon.com/images/M/MV5BNzRiMzZlMTMtNmU3OC00MDUwLThmNDUtMTBjZmQ3MWQ4NTljXkEyXkFqcGc@._V1_.jpg', 'width': 1086, 'height': 1610}",2026.0,6240.0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']","{'aggregateRating': 7.5, 'voteCount': 31298}",A 19-year-old animal lover uses technology that places her consciousness into a robotic beaver to uncover mysteries within the animal world beyond her imagination.,334993260,150000000,33,2.2332884
tt33978029,movie,Ready or Not 2: Here I Come,Ready or Not 2: Here I Come,"{'url': 'https://m.media-amazon.com/images/M/MV5BZTM3N2EyMTEtNDhkMi00ZjNiLWI0MWUtOGViMjExODY3YTJhXkEyXkFqcGc@._V1_.jpg', 'width': 4050, 'height': 6000}",2026.0,6480.0,"['Comedy', 'Horror', 'Thriller']","{'aggregateRating': 6.9, 'voteCount': 12792}","After surviving one deadly game, Grace and her sister Faith must now outrun four rival families competing for a powerful throne - winner takes all.",31696988,17000000,36,1.864528705882353
tt31193180,movie,Sinners,Sinners,"{'url': 'https://m.media-amazon.com/images/M/MV5BNjIwZWY4ZDEtMmIxZS00NDA4LTg4ZGMtMzUwZTYyNzgxMzk5XkEyXkFqcGc@._V1_.jpg', 'width': 2764, 'height': 4096}",2025.0,8220.0,"['Action', 'Drama', 'Horror', 'Music', 'Thriller']","{'aggregateRating': 7.5, 'voteCount': 460740}","Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",370233701,90000000,12,4.113707788888889
tt6718170,movie,The Super Mario Bros. Movie,The Super Mario Bros. Movie,"{'url': 'https://m.media-amazon.com/images/M/MV5BOGZlN2EzOTYtMzUzOS00NTM3LTg0MTQtZDVjZGM4YmJlNWNhXkEyXkFqcGc@._V1_.jpg', 'width': 700, 'height': 1034}",2023.0,5520.0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']","{'aggregateRating': 7, 'voteCount': 290462}","Brooklyn plumbers Mario and Luigi are warped to the magical Mushroom Kingdom, and Mario must team up with Princess Peach, Toad, and Donkey Kong to save Luigi from the evil Bowser.",1360879735,100000000,26,13.60879735
tt32897959,movie,Wuthering Heights,Wuthering Heights,"{'url': 'https://m.media-amazon.com/images/M/MV5BMGFlMTVkMDktZGMzMC00Yjk4LWFmNzEtNTFmMzM2YzM3MWFkXkEyXkFqcGc@._V1_.jpg', 'width': 1638, 'height': 2048}",2026.0,8160.0,"['Drama', 'Romance']","{'aggregateRating': 6.2, 'voteCount': 55188}","A passionate and tumultuous love story set against the backdrop of the Yorkshire moors, exploring the intense and destructive relationship between Heathcliff and Catherine Earnshaw.",239483028,80000000,19,2.99353785
tt32141377,movie,28 Years Later: The Bone Temple,28 Years Later: The Bone Temple,"{'url': 'https://m.media-amazon.com/images/M/MV5BZGU2M2Y1YTItMWYxNS00NDYxLThhOTYtNjNhOWUzNjA3MTYwXkEyXkFqcGc@._V1_.jpg', 'width': 2026, 'height': 3000}",2026.0,6540.0,"['Horror', 'Sci-Fi', 'Thriller']","{'aggregateRating': 7.3, 'voteCount': 81238}","As Spike is inducted into Jimmy Crystal's gang on the mainland, Dr. Kelson makes a discovery that could alter the world.",58503819,63000000,11,0.9286320476190476
tt0335345,movie,The Passion of the Christ,The Passion of the Christ,"{'url': 'https://m.media-amazon.com/images/M/MV5BNzMxY2Y4MzktMGNkNC00ODFjLWI3MGMtMzM2M2ExNmQxMGFmXkEyXkFqcGc@._V1_.jpg', 'width': 1469, 'height': 2197}",2004.0,7620.0,['Drama'],"{'aggregateRating': 7.3, 'voteCount': 272990}","Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",610064899,30000000,11,20.33549663333333
tt31728330,movie,They Will Kill You,They Will Kill You,"{'url': 'https://m.media-amazon.com/images/M/MV5BYjg5ZjQ0ZGQtMmY1NS00NTgyLTlkZWYtMDhlNzE3ZGY5ZDdmXkEyXkFqcGc@._V1_.jpg', 'width': 1638, 'height': 2048}",2026.0,5640.0,"['Action', 'Comedy', 'Horror']","{'aggregateRating': 6.5, 'voteCount': 7394}","A woman takes a job as a housekeeper in a NYC high-rise, unaware of the building's history of disappearances. She soon realizes the community is shrouded in mystery.",15505504,20000000,23,0.7752752
tt27047903,movie,Scream 7,Scream 7,"{'url': 'https://m.media-amazon.com/images/M/MV5BMzk2YzRjYmItNTA5Mi00ODczLTljYzUtOWE1ZDFkODhlZWJlXkEyXkFqcGc@._V1_.jpg', 'width': 878, 'height': 1300}",2026.0,6840.0,"['Horror', 'Mystery']","{'aggregateRating': 5.6, 'voteCount': 44315}","When a new Ghostface killer emerges in the town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target.",209380657,45000000,28,4.652903488888889
tt26443597,movie,Zootopia 2,Zootopia 2,"{'url': 'https://m.media-amazon.com/images/M/MV5BYjg1Mjc3MjQtMTZjNy00YWVlLWFhMWEtMWI3ZTgxYjJmNmRlXkEyXkFqcGc@._V1_.jpg', 'width': 1086, 'height': 1610}",2025.0,6480.0,"['Animation', 'Action', 'Adventure', 'Comedy', 'Crime', 'Family', 'Mystery']","{'aggregateRating': 7.4, 'voteCount': 121707}","Brave rabbit cop Judy Hopps and her friend, the fox Nick Wilde, team up again to crack a new case, the most perilous and intricate of their careers.",1866647950,150000000,38,12.444319666666667
tt1341338,movie,"Good Luck, Have Fun, Don't Die","Good Luck, Have Fun, Don't Die","{'url': 'https://m.media-amazon.com/images/M/MV5BOTQ0NzYzM2QtOWYzMC00MGU5LWJmMTQtYTU1ODU0ZjUwYjk0XkEyXkFqcGc@._V1_.jpg', 'width': 1519, 'height': 2250}",2025.0,8040.0,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']","{'aggregateRating': 7.1, 'voteCount': 34555}","A ""Man From the Future"" arrives at a diner in Los Angeles where he must recruit the precise combination of disgruntled patrons to join him on a one-night quest to save the world from the terminal threat of a rogue artificial intelligence.",9319127,20000000,33,0.46595635
tt32916440,movie,Marty Supreme,Marty Supreme,"{'url': 'https://m.media-amazon.com/images/M/MV5BZTRhYjI1MTItMWYwMi00MjY5LWI1OTktMzQwNzA3MWJlN2QyXkEyXkFqcGc@._V1_.jpg', 'width': 1638, 'height': 2048}",2025.0,8940.0,"['Drama', 'Sport']","{'aggregateRating': 7.7, 'voteCount': 153186}","Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.",179780549,65000000,18,2.7658546
tt26581740,movie,Weapons,Weapons,"{'url': 'https://m.media-amazon.com/images/M/MV5BNTBhNWJjZWItYzY3NS00M2NkLThmOWYtYTlmNzBmN2UxZWFjXkEyXkFqcGc@._V1_.jpg', 'width': 1638, 'height': 2048}",2025.0,7680.0,"['Horror', 'Mystery']","{'aggregateRating': 7.4, 'voteCount': 340224}","When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",269972492,38000000,23,7.1045392631578945
tt7798634,movie,Ready or Not,Ready or Not,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTViMDA4YjgtZDQ4NC00ZDk2LTg0MWItOTc4MTkwMmVkZWRmXkEyXkFqcGc@._V1_.jpg', 'width': 1006, 'height': 1500}",2019.0,5700.0,"['Action', 'Comedy', 'Horror', 'Mystery', 'Thriller']","{'aggregateRating': 6.9, 'voteCount': 241250}",A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,57615777,6000000,15,9.6026295
tt14905854,movie,Hamnet,Hamnet,"{'url': 'https://m.media-amazon.com/images/M/MV5BMDQ5ZmY0OWYtOTYzZi00Mzg5LWE3N2EtMjYwZTAzZmJhYjkyXkEyXkFqcGc@._V1_.jpg', 'width': 1080, 'height': 1600}",2025.0,7500.0,"['Biography', 'Drama', 'History', 'Romance']","{'aggregateRating': 7.8, 'voteCount': 103673}","In late 16th-century England, Agnes, a healer sensitive to the world around her, builds a home with William, a local tutor and aspiring playwright. As their lives fracture, they are tested by distance, silence, and grief.",105387282,30000000,18,3.5129094
tt0816692,movie,Interstellar,Interstellar,"{'url': 'https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_.jpg', 'width': 2430, 'height': 3600}",2014.0,10140.0,"['Adventure', 'Drama', 'Sci-Fi']","{'aggregateRating': 8.7, 'voteCount': 2511698}","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",774560578,165000000,27,4.694306533333333
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,"{'url': 'https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_.jpg', 'width': 1200, 'height': 1800}",1994.0,8520.0,['Drama'],"{'aggregateRating': 9.3, 'voteCount': 3177077}",A wrongfully convicted banker forms a close friendship with a hardened convict over a quarter century while retaining his humanity through simple acts of compassion.,29420884,25000000,9,1.17683536
tt32357218,movie,Shelter,Shelter,"{'url': 'https://m.media-amazon.com/images/M/MV5BMzI2ODY3MzQtYzllNy00YWM1LWExZTgtOGIwNjk2MmE2MmY2XkEyXkFqcGc@._V1_.jpg', 'width': 1008, 'height': 1494}",2026.0,6420.0,"['Action', 'Thriller']","{'aggregateRating': 6.1, 'voteCount': 24361}","Michael Mason is a recluse on a remote Scottish island who rescues a girl from the sea, unleashing a perilous sequence of events that culminate in an attack on his home, compelling him to face his turbulent history.",49305541,50000000,12,0.98611082
tt5950044,movie,Superman,Superman,"{'url': 'https://m.media-amazon.com/images/M/MV5BOGMwZGJiM2EtMzEwZC00YTYzLWIxNzYtMmJmZWNlZjgxZTMwXkEyXkFqcGc@._V1_.jpg', 'width': 1638, 'height': 2048}",2025.0,7740.0,"['Action', 'Adventure', 'Sci-Fi']","{'aggregateRating': 7, 'voteCount': 404283}","Superman must reconcile his alien Kryptonian heritage with his human upbringing as reporter Clark Kent. As the embodiment of truth, justice and the American way he soon finds himself in a world that views these as old-fashioned.",618723803,225000000,21,2.749883568888889
tt10548174,movie,28 Years Later,28 Years Later,"{'url': 'https://m.media-amazon.com/images/M/MV5BNjgwYTI0YjctMWYzNS00MmI1LWI5YTctNmE1YjBkNDFlNWMxXkEyXkFqcGc@._V1_.jpg', 'width': 1080, 'height': 1350}",2025.0,6900.0,"['Horror', 'Sci-Fi', 'Thriller']","{'aggregateRating': 6.6, 'voteCount': 208019}","A group of survivors of the rage virus live on a small island. When one of the group leaves the island on a mission into the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors.",151329249,60000000,19,2.52215415
tt14364480,movie,Wake Up Dead Man,Wake Up Dead Man,"{'url': 'https://m.media-amazon.com/images/M/MV5BY2Q0OTA5MTEtNWU4NC00ZWFmLTg5NmYtNDFmODViYWUxZmJkXkEyXkFqcGc@._V1_.jpg', 'width': 1500, 'height': 2222}",2025.0,8640.0,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']","{'aggregateRating': 7.3, 'voteCount': 230160}",Detective Benoit Blanc teams up with an earnest young priest to investigate a perfectly impossible crime at a small-town church with a dark history.,1600000,40000000,21,0.04
tt27714581,movie,Sentimental Value,Affeksjonsverdi,"{'url': 'https://m.media-amazon.com/images/M/MV5BNTMwMTk0Y2QtY2VhNy00OGYwLThkMjMtZjkwMGI3MTJiMjAyXkEyXkFqcGc@._V1_.jpg', 'width': 2780, 'height': 4079}",2025.0,7980.0,['Drama'],"{'aggregateRating': 7.7, 'voteCount': 71540}","An intimate exploration of family, memories, and the reconciliatory power of art.",22833186,7800000,21,2.9273315384615386
tt1312221,movie,Frankenstein,Frankenstein,"{'url': 'https://m.media-amazon.com/images/M/MV5BYzYzNDYxMTQtMTU4OS00MTdlLThhMTQtZjI4NGJmMTZmNmRiXkEyXkFqcGc@._V1_.jpg', 'width': 1012, 'height': 1500}",2025.0,8940.0,"['Drama', 'Fantasy', 'Horror', 'Sci-Fi']","{'aggregateRating': 7.4, 'voteCount': 302067}","Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.",144496,120000000,29,0.0012041333333333334
tt0077413,movie,Death on the Nile,Death on the Nile,"{'url': 'https://m.media-amazon.com/images/M/MV5BYTkzMWViYWMtMWMwNS00MzgwLTgyZTUtNjVkOTE2YjE0MmM5XkEyXkFqcGc@._V1_.jpg', 'width': 1957, 'height': 2942}",1978.0,8400.0,"['Crime', 'Drama', 'Mystery']","{'aggregateRating': 7.3, 'voteCount': 44358}","As Hercule Poirot enjoys a luxurious cruise down the Nile, a newlywed heiress is found murdered on board. Can Poirot identify the killer before the ship reaches the end of its journey?",14569266,7920000,0,1.839553787878788
tt7181546,movie,Ballerina,Ballerina,"{'url': 'https://m.media-amazon.com/images/M/MV5BNzdhZmY2OTQtYWI4OC00ZThkLTlhZjAtNzE2YzRjM2Q5YjJlXkEyXkFqcGc@._V1_.jpg', 'width': 2025, 'height': 3000}",2025.0,7440.0,"['Action', 'Thriller']","{'aggregateRating': 6.8, 'voteCount': 147322}",An assassin trained in the traditions of the Ruska Roma organization sets out to seek revenge after her father's death.,137408107,90000000,18,1.5267567444444445
tt0068646,movie,The Godfather,The Godfather,"{'url': 'https://m.media-amazon.com/images/M/MV5BNGEwYjgwOGQtYjg5ZS00Njc1LTk2ZGEtM2QwZWQ2NjdhZTE5XkEyXkFqcGc@._V1_.jpg', 'width': 1396, 'height': 1982}",1972.0,10500.0,"['Crime', 'Drama']","{'aggregateRating': 9.2, 'voteCount': 2219285}",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,250933053,6000000,15,41.8221755
tt30274401,movie,Five Nights at Freddy's 2,Five Nights at Freddy's 2,"{'url': 'https://m.media-amazon.com/images/M/MV5BZmQ3NmIxNTgtYjFiNS00NzliLWI0YzAtZDkxY2E0YWIxZDEwXkEyXkFqcGc@._V1_.jpg', 'width': 1579, 'height': 2500}",2025.0,6240.0,"['Horror', 'Mystery', 'Thriller']","{'aggregateRating': 5.1, 'voteCount': 36971}","One year after the supernatural nightmare at Freddy Fazbear's Pizza, Abby runs away to reconnect with her animatronic friends, uncovering dark secrets about the true origins of Freddy's and unleashing a horror hidden for decades.",238569570,51000000,19,4.677834705882353
tt16311594,movie,F1: The Movie,F1,"{'url': 'https://m.media-amazon.com/images/M/MV5BNGI0MDI4NjEtOWU3ZS00ODQyLWFhYTgtNGYxM2ZkM2Q2YjE3XkEyXkFqcGc@._V1_.jpg', 'width': 2764, 'height': 4096}",2025.0,9300.0,"['Action', 'Drama', 'Sport']","{'aggregateRating': 7.6, 'voteCount': 346905}",A Formula One driver comes out of retirement to mentor and team up with a younger driver.,634042436,200000000,22,3.17021218
tt1375666,movie,Inception,Inception,"{'url': 'https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_.jpg', 'width': 700, 'height': 1037}",2010.0,8880.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']","{'aggregateRating': 8.8, 'voteCount': 2806082}","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO, but his tragic past may doom the project and his team to disaster.",839796627,160000000,14,5.24872891875
tt9603208,movie,Mission: Impossible - The Final Reckoning,Mission: Impossible - The Final Reckoning,"{'url': 'https://m.media-amazon.com/images/M/MV5BZGQ5NGEyYTItMjNiMi00Y2EwLTkzOWItMjc5YjJiMjMyNTI0XkEyXkFqcGc@._V1_.jpg', 'width': 2025, 'height': 3000}",2025.0,10140.0,"['Action', 'Adventure', 'Thriller']","{'aggregateRating': 7.1, 'voteCount': 225724}","Hunt and the IMF pursue a dangerous AI called the Entity that's infiltrated global intelligence. With governments and a figure from his past in pursuit, Hunt races to stop it from forever changing the world.",598767057,400000000,12,1.4969176425
tt0468569,movie,The Dark Knight,The Dark Knight,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_.jpg', 'width': 1383, 'height': 2048}",2008.0,9120.0,"['Action', 'Crime', 'Drama', 'Thriller']","{'aggregateRating': 9.1, 'voteCount': 3156749}","When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",1008477382,185000000,12,5.451229091891892
tt9340860,movie,Let Him Go,Let Him Go,"{'url': 'https://m.media-amazon.com/images/M/MV5BYTRhMjVkZmEtYmYyNi00NGJkLTkzYmQtOWE0MGJjZjUyNmFmXkEyXkFqcGc@._V1_.jpg', 'width': 4050, 'height': 6000}",2020.0,6780.0,"['Crime', 'Drama', 'Thriller', 'Western']","{'aggregateRating': 6.7, 'voteCount': 39479}","A retired sheriff and his wife, grieving over the death of their son, set out to find their only grandson.",10835686,21000000,10,0.5159850476190476
tt4627382,movie,Roofman,Roofman,"{'url': 'https://m.media-amazon.com/images/M/MV5BYjU4OTkyN2MtYjI0Mi00MjE3LWFkNTktZDNjODc3OTdiMDdiXkEyXkFqcGc@._V1_.jpg', 'width': 2025, 'height': 3000}",2025.0,7560.0,"['Biography', 'Crime', 'Drama', 'History', 'Romance']","{'aggregateRating': 6.9, 'voteCount': 69727}","A charismatic criminal, while on the run from the police, hides in a hidden space of a toy store. There, he adopts a new identity and becomes involved with an employee, beginning a relationship as unlikely as it is risky.",34725610,19000000,23,1.8276636842105263
tt15239678,movie,Dune: Part Two,Dune: Part Two,"{'url': 'https://m.media-amazon.com/images/M/MV5BNTc0YmQxMjEtODI5MC00NjFiLTlkMWUtOGQ5NjFmYWUyZGJhXkEyXkFqcGc@._V1_.jpg', 'width': 2764, 'height': 4096}",2024.0,9960.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']","{'aggregateRating': 8.4, 'voteCount': 732799}","Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",714844358,190000000,32,3.7623387263157895
tt0241527,movie,Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone,"{'url': 'https://m.media-amazon.com/images/M/MV5BNTU1MzgyMDMtMzBlZS00YzczLThmYWEtMjU3YmFlOWEyMjE1XkEyXkFqcGc@._V1_.jpg', 'width': 1972, 'height': 2902}",2001.0,9120.0,"['Adventure', 'Family', 'Fantasy']","{'aggregateRating': 7.7, 'voteCount': 949207}","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",1029374615,125000000,15,8.23499692
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,"{'url': 'https://m.media-amazon.com/images/M/MV5BNzIxMDQ2YTctNDY4MC00ZTRhLTk4ODQtMTVlOWY4NTdiYmMwXkEyXkFqcGc@._V1_.jpg', 'width': 1978, 'height': 2936}",2001.0,10680.0,"['Adventure', 'Drama', 'Fantasy']","{'aggregateRating': 8.9, 'voteCount': 2199851}",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,897205907,93000000,13,9.647375344086022
tt1160419,movie,Dune: Part One,Dune: Part One,"{'url': 'https://m.media-amazon.com/images/M/MV5BNWIyNmU5MGYtZDZmNi00ZjAwLWJlYjgtZTc0ZGIxMDE4ZGYwXkEyXkFqcGc@._V1_.jpg', 'width': 1728, 'height': 2552}",2021.0,9300.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']","{'aggregateRating': 8, 'voteCount': 1036211}","Paul Atreides arrives on Arrakis after his father accepts the stewardship of the dangerous planet. However, chaos ensues after a betrayal as forces clash to control melange, a precious resource.",410668500,165000000,33,2.4889
tt3659388,movie,The Martian,The Martian,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTc2MTQ3MDA1Nl5BMl5BanBnXkFtZTgwODA3OTI4NjE@._V1_.jpg', 'width': 865, 'height': 1280}",2015.0,8640.0,"['Adventure', 'Drama', 'Sci-Fi']","{'aggregateRating': 8, 'voteCount': 1007453}","An astronaut becomes stranded on Mars after his team assumes him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.",630621406,108000000,28,5.839087092592592
tt0082010,movie,An American Werewolf in London,An American Werewolf in London,"{'url': 'https://m.media-amazon.com/images/M/MV5BOWYyNmMwMTUtZjE2OC00YWQzLWJmMzctNzhmMDI1OTQwNzdhXkEyXkFqcGc@._V1_.jpg', 'width': 1861, 'height': 2918}",1981.0,5820.0,"['Comedy', 'Horror']","{'aggregateRating': 7.5, 'voteCount': 134093}","American college students David Kessler and Jack Goodman on a walking tour of Britain are attacked by a werewolf that none of the locals will admit exists. Jack dies. David recovers in a hospital, where he has nightmares.",30858814,10000000,2,3.0858814
tt14107334,movie,The Running Man,The Running Man,"{'url': 'https://m.media-amazon.com/images/M/MV5BMTk5NjU4OTAtNTEyMS00ZjBiLTg0ZjMtOGJiMGJhNjQ3MzYxXkEyXkFqcGc@._V1_.jpg', 'width': 2025, 'height': 3000}",2025.0,7980.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']","{'aggregateRating': 6.4, 'voteCount': 91437}","A man joins a game show in which contestants, allowed to flee anywhere in the world, are pursued by ""hunters"" hired to kill them.",69486523,110000000,25,0.6316956636363636
